latitude,longitude,username,tweettext
34.0522,-118.243,The LA Film School,Meg LeFauve
-7.75819,110.36416,ig:azizsaptaa,#samsmith #samsmithoscar #sasmithoscar2016 #redcarpetoscar2016 #redcarpetoscar #oscar2016 #oscar… https://t.co/0BzDWPEQrf
34.09306091,-118.3269925,ANDI COSMETICS,Red Carpet Selfie!! #andicosmetics  #oscar #glamsquad #redcarpetselfie #selfie #unclebobpics… https://t.co/Hd4fnTP2hN
34.09006554,-118.3157411,Cisco Reyes,We decided we are going to write an #Oscar winning script today! #Mentor n #Mente Nayelli… https://t.co/hOB9gDCZ4I
34.10165723,-118.3397021,erin masuda,Before the #Oscar chaos... #latergram #lalife #hollywood #hollywoodandhighland… https://t.co/wxM3FGWvNy
34.07305556,-118.3994444,Francisco Lameiras,Celebrating the #oscar for #LEO! #Oscars #AcademyAwards @ Beverly… https://t.co/CDoFmpDuSn
-5.15907,119.41007,Ilham Satria Zaslavs,Film menjelang tengah malam #RoomMovie #Drama #Oscar ??? ? Room (at @cinema21) — https://t.co/7IFBdYjWJH
34.1026192,-118.3395081,Patrick L. Ranch,Another year
-6.2173,106.839,Yuliana Budinastuti,Lmfao ???
34.0836563,-118.3630524,Liz Moss,At the @trollbound x moodsofnorway Oscar's party @moodsofnorway #redcarpet #hollywood #oscar… https://t.co/vnVY0UT64n
34.051111,-118.411389,TJ Jacques,#2016 #ColumbiaCollegeChicago #Oscar viewing with the dudes. 
34.09306091,-118.3269925,ANDI COSMETICS,Andi Cosmetics- Glam squad
34.01717572,-118.4940899,Jonathan Fuhrman,It's not an #Oscar but we'll take it. #certifiedfresh #rottentomatoes #sicario #ThunderRoad @… https://t.co/snAgTrtutC
34.0984116,-118.3283691,The LA Film School,#Oscar-nominated screenwriter #DrewGoddard shared advice to writers looking to break into the… https://t.co/zgUpcpveld
34.1,-118.3333333,Elijah Long,My reaction to leonardodicaprio #Oscar Win...! #leo @ Hollywood https://t.co/booJyd43Wh
-2.1833,-79.8833,Jose Hidalgo Leon,Hoy en @forever925 hablaremos de la moda en los premios #Oscar junto a @diana_lenre y… https://t.co/De3xSgVxUZ
34.0522,-118.243,Paula Rosa,Parabéns para o Leo #amo #LeonardoDicaprio #Oscar  #oscars  #instadaily  #instacool… https://t.co/Ybg1UfDUNB
-1.28092704,36.8171972,OtakuKenyan,regrann from 9gag  -  Leo is free now!
34.10165393,-118.3263645,Petree ?,The real #Oscar ??
-1.2620665,36.9045395,Papito Tito,36 years in the game
-6.22811727,106.6065004,Yuliana Budinastuti,????????
34.098122,-118.331915,funjetsetter,FOX Oscar Night party?????? #oscar #followmearoundtheworle #lovemylife #funjetsetter #2016 @ The… https://t.co/MGHiC1sXzP
34.1317143,-118.3464999,Wanda McDaniel,#Oscar highlight: getting to know the brilliant and beautiful Dr. Jill Biden and her stunning… https://t.co/WowySKwNtH
34.0304,-118.779,Jamel Benjemaia,Y a pas que Leo qui a eu un Oscar #oscars #oscar #oscars2016 #cinema #leodicaprio… https://t.co/fodQ2iJe5c
34.1132647,-118.3145921,?Monster_Life?,New wallpaper finally??#littlemonster #forever #proud #to #be #your #fan #mother #monster #oscar… https://t.co/Z4JGIF2isM
-1.45,-48.5,Essa.tal.d.Thata,Melhor pessoa...
34.07374166,-118.3966965,Paradise Bar,Congratulations to @_participant #Media on their multiple #Oscar #win! We're honored to be… https://t.co/6UL6jCXCZq
-12.07860971,-77.08081868,Casino Miami Cirsa,Nuestro #super #oso también quiere su #Oscar #casinomiami #casino #Miami #casinos #lima… https://t.co/MT0uvwxgbY
34.10249763,-118.3393196,Lawrence Zarian,Before the #Oscar dust settles
34.10089705,-118.3254993,Mia Juel,#oscar #oscar2016 #afterparty #kevinhart  #whotel #norwegian #in #hollywood #losangeles #LA… https://t.co/1Ldp9p5bWj
34.0522,-118.243,vicente montoya,#perfect #Beauty #beautifulgirl ????????? @eizamusica en @vanityfair #vfoscarparty the #oscar… https://t.co/br9qKqwWUq
37.787044,-122.401266,Sarah M,#oscar #???? #oscarparty ? @ Novela https://t.co/Gy8M8qg7Gf
37.787044,-122.401266,Sarah M,#oscar #???? #oscarparty ? #redcarpet @ Novela https://t.co/cCZJC4MNk6
34.08481447,-118.3844165,David T Morris,Happy Monday!  TONIGHT
-6.51111773,-36.35067011,Yasmim Hamanna,Como nem tudo é flores
34.1026192,-118.3395081,andres silva,Aqui yo ganando mi #oscar?? 
34.1,-118.3333333,Annalisa?,Amazing leonardodicaprio… 
34.0522,-118.243,Betty Zhou ???,#Oscar #oscars #acamedyawards #lastnight #me #girl #tvhost #tvproducer #actress #bettyzhou… https://t.co/bDOpWZq5rT
38.57380661,-121.5014344,Valerie Complex,Leonardo DiCaprio Wins Academy Award: Who Should We Root For Next?  https://t.co/1jZcbJyNHS #Oscars2016 #AcademyAwards #Oscar
34.10165393,-118.3263645,Armando Pinedo,No sin mi #oscar #leodicaprio @ Hollywood https://t.co/Syy7Y2Qwuz
34.1026192,-118.3395081,DH Movie News,See you next year #Oscar. @ Dolby Theatre https://t.co/iy47a8dITO
34.0522,-118.243,Amberlynn Johnson,We won our #Oscar pool!!! ? @ Los Angeles
-20.3189,-40.3378,Deivisson Brito,"O #Oscar para o melhor Ator.... #Lula pela belíssima atuação em ""A alma mais honesta do Brasil""… https://t.co/jLXKfIKld2"
38.5556,-121.469,Brock Daniels,By daisyridley 
34.0522,-118.243,Vadim Savin UNISTAR™,And Oscar goes to... ME!!!
34.10246896,-118.3413039,Daniele Numerato,Grows a #beard wins an #Oscar ??
34.1015338,-118.3451074,John Masters,#Oscar Hangover #hollywood @ Hollywood Blvd https://t.co/oRjJjRTCc1
34.06621709,-118.4129506,Mark Beirne,Holding my first #Oscar!! Can confirm it's heavy. Congrats to #MadMax sound mixer Ben Osmo
34.10118457,-118.3385815,Billy Bennight,Barbara Eden while walking the carpet for the RNSH Oscar viewing party. #oscar #oscars… https://t.co/CLfDMFODRb
34.10118457,-118.3385815,Billy Bennight,George Chakiris and Donelle Dadigan walking the carpet for the RNSH Oscar viewing party. #oscar… https://t.co/M8JZvJpKmj
34.0522,-118.243,Rob Gaudet,When you're glad there is social media on #oscar night! @avagaudet @robgaudet @robgaudet… https://t.co/L1328t6skD
34.10170028,-118.3392504,Szénássy Szabina,and the #Oscar goes to... #bestaccountantoftheyear #oscar2016 @… https://t.co/ZaMCbwzAxg
34.10249763,-118.3393196,Jonathan Fuhrman,These great fellas sealed their #Oscar win last night with a double kiss for Academy President… https://t.co/ZloGnno2Qg
34.0522,-118.243,BEX ROX,Congratulations @serenacarmitage and #BenCleary for winning an #Oscar for the short film… https://t.co/jDFjSxXx5b
34.10165723,-118.3397021,Louis Aguirre,Big love to @eleveelifestyle & my #Insider glam squad  for my #Oscar look last night. What a… https://t.co/jqmgOVPv1r
34.09807167,-118.3681378,Whitney Lane Fern,About last night...#Oscar you so heavy! #oscars #thebigshort @ Chateau Marmont https://t.co/VcgNXv5Obt
-7.77886585,110.4085139,Alexander F. Gerrits,Finally after 25 years. Congratulations Environmentalist man
34.18166708,-118.5445749,ezra gentle,Had an awesome #Oscar watch party with these fine Okies. Thanks for hosting @kelshightower!… https://t.co/VB87IndAVO
34.10246896,-118.3413039,a .,#LeonardoDiCaprio & Oscar 2016! 
34.10170028,-118.3392504,Betty Zhou ???,#Oscar #oscars #acamedyawards #performance #movie #fiftyshadesofgrey #song #great #me #love… https://t.co/rdquQYa56J
34.06621709,-118.4129506,Tatum Miranda *Venus,Yesterday on the #redcarpet at the #Nightof100Stars #Oscar viewing party! #oscarparties… https://t.co/xHpATVoL6u
34.0401306,-118.6653976,malibugroomingco,#malibu #life #celebrity #love #oscar #grooming #surf #beach #dog @ malibu grooming company https://t.co/jfe78ShfrE
34.10049113,-118.3448584,FERNANDO RIOS,#retiran el #oscar a #leonardodicaprio por un #error del #presentador #lastimamargarito @ The… https://t.co/6kN73QO6cW
34.0522,-118.243,FabiiCamacho™? SL,Por fin un #Oscar para vos leonardodicaprio ??? @ Los Angeles
34.10246896,-118.3413039,TO2 Uruguay,¡Al fin Leo ya tiene su #Oscar! @ Dolby Theater https://t.co/qVryBCYv4D
34.10249763,-118.3393196,Rafael D. Ortiz,Before the Oscars 
-22.25,-51.3333,Renan Rufino,? 
-19.9191,-43.9387,Joelma,Tive que salvar essa foto pra lembrar dessa rainha cantando ? #Oscar #LadyGaga #Queen #Diva… https://t.co/Xr0aXTJdgg
34.10249763,-118.3393196,OscarDoLeoDiCaprio,#FriendshipGoals #Friendship #LeonardoDiCaprio #KateWinslet #Oscar #LeonardoDiCaprioDay… https://t.co/oEKdlwmHly
34.10121712,-118.3256132,Contentmode,#actress thatoliviacheng of @netflix original series marcopolo.netflix attends #Oscar #party… https://t.co/5oE8urnjPi
34.10246896,-118.3413039,SOCii Media,CONGRATULATIONS to all of this year's #OSCAR winners!! What a great year for film! ? (Photo… https://t.co/YrztgHs4Jk
34.0522,-118.243,Bell Rocha - ?????,Ganhei ganhei.... Melhor tudo #Oscar #Oscar2016 @ Los Angeles
34.10249763,-118.3393196,OscarDoLeoDiCaprio,Mark Rufallo nos representa.
34.10246896,-118.3413039,Marley_Rays,?/  29.02.2016.  /
34.0522,-118.243,Bell Rocha - ?????,Muita emoção... Melhor tudo 
-15.78843925,-47.91083134,Clube FM Brasília,??? @anadubeux ???
34.10246896,-118.3413039,Nass,I would like to thank... ? #LeonardoDiCaprio #leonardo #Oscar #Oscars #TheRevenant @ Dolby Theater https://t.co/eDvqUPpdiC
38.57701445,-121.5003659,Valerie Complex,Could Oscars 2016 Be The Last ‘White’ Night For The Academy? https://t.co/linoeHRfrc #Oscars #oscar #88thAcademyAwards #AcademyAwards
34.07042419,-118.3512622,Julie Smolyansky,In unity with survivors around the world for this epic moment in #Oscar history. #Repost… https://t.co/V00KUnXCAS
34.1026192,-118.3395081,Ka,Ahh
-2.5333,-44.2992,Diego Chagas,#sobreacerimônia
34.10165723,-118.3397021,The Koffa Design Grp,#charlizetheron in #Dior on this years #oscar #redcarpet #losangeles #beverlyhills #hollywood… https://t.co/bmnqK3B624
-16.78702162,-49.29640055,Michel Castro Alves,#oscarnatnt #oscar #Work #rihannawork #riri #Rihanna #navy #bey #BeyonceSoRacist #beard #beer… https://t.co/tCUOKPRXhm
-19.7525252,-45.2591878,Rodrigo Elias,Sobre o #Oscar https://t.co/9SFWdJ0ibd
-16.6667,-49.25,Elver Varjao PANDA,#gloriapires #glorianooscar #oscar #OscarNaGlobo @ Goiânia
34.1026192,-118.3395081,~ Lóren,After Oscar Show! ?? #Oscar #LosAngeles #TeamLeo #GagaYouDeserved @… https://t.co/cumS2yzL0I
34.0522,-118.243,Resident Magazine,The truth is
34.0522,-118.243,Aldo Cisternino,#complimenti #maestro ????#enniomorricone #oscar #oscar2016 #bestsoundtrack #madeinitaly… https://t.co/XjFpyCBrf4
34.1026192,-118.3395081,Olga Balaban,#Oscars #afterparty omg can't believe I'm here after#Leo winning the #Oscar ???????????????? @… https://t.co/7GUtspLMjd
34.1,-118.3333333,The Beauty Broker,We tune into my sweetheart and most favorite #MUA @makeupvincent for #Oscar party #beauty ....… https://t.co/BDC3VfKKv3
34.1011581,-118.3398132,David Royer,Ahhhhhh!!! I'm dying! @dnce making serious magic on #gma post #oscar show! #cakebytheocean… https://t.co/sYyCXdmMUV
-8.0174271,-34.848215,Hello,Em cada poça dessa rua você vai me ver... #oscar pra essa banda ?
-21.76339557,-43.34741532,Loja Hero Comics,Até que enfim... Parabéns DiCaprio!!!?????????
-15.79055752,-47.8856587,Tio Jao,Tem os melhores momentos da Glória Pires ontem? #google #oscar #gloriapires #naoseiopinar
34.10246896,-118.3413039,Mos Creaciones,POR FIN.
34.12798513,-118.4197969,Carla L. Sims,"I had the pleasure of ""watching"" #TomMcCarthys #Oscar"
34.1132647,-118.3145921,Jennifer Fisher,?? @selenagomez wearing the JF Silver Double Band Ring to last nights #Oscar @vanityfair party… https://t.co/gPhuYmppwO
34.0522,-118.243,Roman Bilik,Yees ?  @samsmithworld // #SamSmith #Oscar @ Los Angeles
34.07222533,-118.4017152,Brendan Ordonez,#AboutLastNight #TaylorSwift #AlexandreVauthier #VanityFair #Oscar party #2016 #BPCM @ Wallis… https://t.co/WZAprlFDff
-4.26667,-41.7833,#Babadhocs,Com certeza ela merece o #oscar. Kkkkkk
34.06621709,-118.4129506,Tatum Miranda *Venus,Today on the #redcarpet at the #Nightof100Stars #Oscar viewing party! #oscarparties #nygardslims… https://t.co/IGML3NzxM1
34.1132647,-118.3145921,StileXpress,#Oscar töreni sonras? verilen #afterparty'lerden en çok kat?l?m #VanityFair'in davetine oldu.… https://t.co/O0VeL3AuPK
34.0522,-118.243,Sergey Timofeev,?????????? #?????
34.10049113,-118.3448584,Chelsea Lauren,Tears of joy for @brielarson after seeing her name on her #bestactress #Oscar for the first… https://t.co/3nmjSYp8kj
34.0522,-118.243,Ben Cooke,My 3 favourite hair looks from #oscar last night. Simple and super chic. #cateblanchett… https://t.co/HxFuXG94WD
34.0496721,-118.4645888,Alex Cubis,Congratulations to @SpotlightMovie & @nicolerocklin for an incredibly important film and the #Oscar win! ? https://t.co/NWoMMMw1SE
34.10244285,-118.3393337,Naufal Haritsyah,??
34.06754168,-118.3977424,SunHee Grinnell,@kiehlsprez One more! Our #oscar #tradition ????? Love it! @ Spago Beverly Hills https://t.co/XKuLvGGS84
34.10165723,-118.3397021,Hannah Stoudemire,I set my goal. I met my goal. Oscars 2016! ?? 
34.10244285,-118.3393337,Yang Chien-Hsuan,-
34.0522,-118.243,Karan Dhillon ??,#Indian relatives of #Leonardo #DiCaprio #celebrating his #Oscar… https://t.co/it062TTlhw
34.10049113,-118.3448584,Andrew Cole,You gotta love this pose.  #leonardodicaprio FINALLY 
-18.93650686,-48.28870829,Juliana Talala,Buongiorno così  ?? ??? #EnnioMorricone #Oscar #MelhorTrilha #Tarantino #Django #BomDia @ Spazio… https://t.co/wsTWeEs5zn
34.1026192,-118.3395081,DAVID MAGDAEL,Filipinos be #backstage #rubenNepales #Oscar #sunday #yay @ Dolby Theatre https://t.co/JRsVyVrqcj
-21.18832,-47.81148,Kako Lopez !,E não é que ele conseguiu !!! #Oscar #leonardodicaprio #bomdia #bomdiaa #bomdiaaa #segundafeira… https://t.co/tA9jH4E9Yi
34.10165723,-118.3397021,DAVID MAGDAEL,Whew. We done. Long day. Big fun with big bro and #Oscar dragon52b #BennyMagdael @ The Oscars… https://t.co/CJ4VJDePZa
33.95803,-118.44971,Danny,#leonardodicaprio #oscar @ Playa Provisions https://t.co/pPXBEE2F3O
34.098122,-118.331915,funjetsetter,Fox Oscar Party #lovemylife #funjetsetters #followmearoundtheworld #oscar #2016 @ The Hollywood… https://t.co/TjGOz0Sp9A
-5.0949,-42.8042,Péricles Mendel,Leonardo DiCaprio mereceu ganhar o Oscar por O Regresso #oscar #oscars #oscar2016 @ Teresina https://t.co/UBgvjXy7f3
34.10121712,-118.3256132,Nikki Balzzz,Chillin w my oldddd friend @glassthetramp at the #kevinhart #oscar party ? so good to see old… https://t.co/zwhfg4QCA5
-3.72544534,-38.50140894,Victor Bayma,#Oscar (@ Loft Praia in Fortaleza
-6.5215,106.88595,Putra Atok,@indditcom: Mad Max: Fury Road
34.0879,-118.372,Raquelle David,Little Aussie girl next to #tommccarthy holding the #bestpicture #Oscar for #Spotlight what an… https://t.co/2ctLCeLfFp
34.09694804,-118.3630263,?????? Online,Leo! Oscar! Done! 
34.09230076,-118.338472,saba saba,Great nite great performances @ the #Oscar after party. @summerrona  amazing voice you blessed… https://t.co/NroeVC6R02
34.10165723,-118.3397021,COCO FASHION BLOGGER,#oscar2016 #oscar #redcarpet #jenniferlawrence @ The Oscars Red Carpet https://t.co/QYrdI6fFlT
